Údaj,Hodnota,Kód,Text,url,budid,idob
Počet obyvatel v budově dle SLDB - trvalý pobyt:,NA,12,70-79,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Počet obyvatel v budově dle SLDB - obvyklý pobyt:,NA,12,70-79,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Druh vlastníka budovy:,NA,1,fyzická osoba,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Počet všech podlaží budovy:,6,6,6 podlaží,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Počet bytů v budově (vchodu):,16,8,15-19 bytů,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Vybavení budovy výtahem:,NA,1,s výtahem,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Obestavěný prostor budovy v m3:,NA,NA,,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Zastavěná plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Podlahová plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Materiál nosných zdí budovy:,NA,10,"Kámen, cihly, tvárnice vč. kombinací",buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Připojení budovy na odpad:,NA,1,Přípoj na kanalizační síť,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Připojení budovy na vodovod:,NA,1,s vodovodem,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Způsob vytápění budovy:,NA,3,lokální (kotel nebo jiné topidlo v bytě),buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Připojení budovy na plyn:,NA,1,Plyn z veřejné sítě,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Druh plynu:,NA,NA,,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Topné médium - hlavní:,NA,NA,,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Topné médium - vedlejší:,NA,NA,,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Počet evidovaných obyvatel v budově:,NA,8,30-39,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Druh domu dle SLDB:,NA,4,Bytový dům,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Počet nadzemních podlaží domu dle SLDB:,NA,6,6-8 podlaží,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Druh vlastníka domu dle SLDB:,NA,11,Spoluvlastnictví vlastníků bytů (jednotek),buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Způsob vytápění domu dle SLDB:,NA,8,Bez ústředního topení,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Připojení domu na vodovod dle SLDB:,NA,1,Vodovod v domě - z veřejné sítě,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Období výstavby nebo rekonstrukce domu dle SLDB:,NA,3,1920-1945,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Počet obyvatel v budově dle SLDB - trvalý pobyt:,NA,8,30-39,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Počet obyvatel v budově dle SLDB - obvyklý pobyt:,NA,8,30-39,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Druh vlastníka budovy:,NA,4,ostatní právnické osoby,buddet.jsp?budid=211892&idob=1000056546&b=0,211892,1000056546
Počet všech podlaží budovy:,6,6,6 podlaží,buddet.jsp?budid=211892&idob=1000056546&b=0,211892,1000056546
